symbol_id,nse_symbol,yahoo_symbol,company_name,sector,industry,fno_eligible,active,source,last_updated
1,AARTIIND,AARTIIND.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
2,ABB,ABB.NS,,Capital Goods,Electrical Equipment,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
3,ABBOTINDIA,ABBOTINDIA.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
4,ABCAPITAL,ABCAPITAL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
5,ABFRL,ABFRL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
6,ACC,ACC.NS,,Cement,Cement,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
7,ADANIENT,ADANIENT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
8,ADANIPORTS,ADANIPORTS.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
9,ALKEM,ALKEM.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
10,AMBUJACEM,AMBUJACEM.NS,,Cement,Cement,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
11,APOLLOHOSP,APOLLOHOSP.NS,,Healthcare,Hospitals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
12,APOLLOTYRE,APOLLOTYRE.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
13,ASHOKLEY,ASHOKLEY.NS,,Auto,Commercial Vehicles,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
14,ASIANPAINT,ASIANPAINT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
15,ASTRAL,ASTRAL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
16,ATUL,ATUL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
17,AUBANK,AUBANK.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
18,AUROPHARMA,AUROPHARMA.NS,,Pharma,Pharmaceuticals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
19,AXISBANK,AXISBANK.NS,,Bank,Private Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
20,BAJAJ-AUTO,BAJAJ-AUTO.NS,,Auto,Two Wheelers,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
21,BAJAJFINSV,BAJAJFINSV.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
22,BAJFINANCE,BAJFINANCE.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
23,BALKRISIND,BALKRISIND.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
24,BALRAMCHIN,BALRAMCHIN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
25,BANDHANBNK,BANDHANBNK.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
26,BANKBARODA,BANKBARODA.NS,,Bank,Public Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
27,BATAINDIA,BATAINDIA.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
28,BEL,BEL.NS,,Defence,Defence Electronics,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
29,BERGEPAINT,BERGEPAINT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
30,BHARATFORG,BHARATFORG.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
31,BHARTIARTL,BHARTIARTL.NS,,Telecom,Telecommunication Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
32,BHEL,BHEL.NS,,Capital Goods,Heavy Electrical Equipment,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
33,BIOCON,BIOCON.NS,,Pharma,Biotechnology,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
34,BOSCHLTD,BOSCHLTD.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
35,BPCL,BPCL.NS,,Energy,Refineries & Marketing,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
36,BRITANNIA,BRITANNIA.NS,,FMCG,Packaged Foods,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
37,BSOFT,BSOFT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
38,CANBK,CANBK.NS,,Bank,Public Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
39,CANFINHOME,CANFINHOME.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
40,CHAMBLFERT,CHAMBLFERT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
41,CHOLAFIN,CHOLAFIN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
42,CIPLA,CIPLA.NS,,Pharma,Pharmaceuticals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
43,COALINDIA,COALINDIA.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
44,COFORGE,COFORGE.NS,,IT,IT Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
45,COLPAL,COLPAL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
46,CONCOR,CONCOR.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
47,COROMANDEL,COROMANDEL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
48,CROMPTON,CROMPTON.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
49,CUB,CUB.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
50,CUMMINSIND,CUMMINSIND.NS,,Capital Goods,Industrial Machinery,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
51,DABUR,DABUR.NS,,FMCG,Personal Products,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
52,DALBHARAT,DALBHARAT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
53,DEEPAKNTR,DEEPAKNTR.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
54,DELTACORP,DELTACORP.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
55,DIVISLAB,DIVISLAB.NS,,Pharma,Pharmaceuticals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
56,DIXON,DIXON.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
57,DLF,DLF.NS,,Realty,Real Estate,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
58,DRREDDY,DRREDDY.NS,,Pharma,Pharmaceuticals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
59,EICHERMOT,EICHERMOT.NS,,Auto,Two Wheelers,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
60,ESCORTS,ESCORTS.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
61,EXIDEIND,EXIDEIND.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
62,FEDERALBNK,FEDERALBNK.NS,,Bank,Private Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
63,GAIL,GAIL.NS,,Energy,Gas Transmission & Marketing,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
64,GLENMARK,GLENMARK.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
65,GMRINFRA,GMRINFRA.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
66,GNFC,GNFC.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
67,GODREJCP,GODREJCP.NS,,FMCG,Personal Products,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
68,GODREJPROP,GODREJPROP.NS,,Realty,Real Estate,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
69,GRANULES,GRANULES.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
70,GRASIM,GRASIM.NS,,Cement,Cement & Diversified,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
71,GUJGASLTD,GUJGASLTD.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
72,HAL,HAL.NS,,Defence,Aerospace & Defence,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
73,HAVELLS,HAVELLS.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
74,HCLTECH,HCLTECH.NS,,IT,IT Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
75,HDFC,HDFC.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
76,HDFCAMC,HDFCAMC.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
77,HDFCBANK,HDFCBANK.NS,,Bank,Private Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
78,HDFCLIFE,HDFCLIFE.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
79,HEROMOTOCO,HEROMOTOCO.NS,,Auto,Two Wheelers,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
80,HINDALCO,HINDALCO.NS,,Metal,Aluminium,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
81,HINDCOPPER,HINDCOPPER.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
82,HINDPETRO,HINDPETRO.NS,,Energy,Refineries & Marketing,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
83,HINDUNILVR,HINDUNILVR.NS,,FMCG,Personal Products,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
84,IBULHSGFIN,IBULHSGFIN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
85,ICICIBANK,ICICIBANK.NS,,Bank,Private Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
86,ICICIGI,ICICIGI.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
87,ICICIPRULI,ICICIPRULI.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
88,IDEA,IDEA.NS,,Telecom,Telecommunication Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
89,IDFC,IDFC.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
90,IDFCFIRSTB,IDFCFIRSTB.NS,,Bank,Private Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
91,IEX,IEX.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
92,IGL,IGL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
93,INDHOTEL,INDHOTEL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
94,INDIACEM,INDIACEM.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
95,INDIAMART,INDIAMART.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
96,INDIGO,INDIGO.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
97,INDUSINDBK,INDUSINDBK.NS,,Bank,Private Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
98,INDUSTOWER,INDUSTOWER.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
99,INFY,INFY.NS,,IT,IT Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
100,INTELLECT,INTELLECT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
101,IOC,IOC.NS,,Energy,Refineries & Marketing,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
102,IPCALAB,IPCALAB.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
103,IRCTC,IRCTC.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
104,ITC,ITC.NS,,FMCG,Diversified FMCG,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
105,JINDALSTEL,JINDALSTEL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
106,JKCEMENT,JKCEMENT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
107,JSWSTEEL,JSWSTEEL.NS,,Metal,Iron & Steel,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
108,JUBLFOOD,JUBLFOOD.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
109,KOTAKBANK,KOTAKBANK.NS,,Bank,Private Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
110,L&TFH,L&TFH.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
111,LALPATHLAB,LALPATHLAB.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
112,LAURUSLABS,LAURUSLABS.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
113,LICHSGFIN,LICHSGFIN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
114,LT,LT.NS,,Infrastructure,Engineering & Construction,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
115,LTIM,LTIM.NS,,IT,IT Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
116,LTTS,LTTS.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
117,LUPIN,LUPIN.NS,,Pharma,Pharmaceuticals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
118,M&M,M&M.NS,,Auto,Automobiles,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
119,M&MFIN,M&MFIN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
120,MANAPPURAM,MANAPPURAM.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
121,MARICO,MARICO.NS,,FMCG,Personal Products,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
122,MARUTI,MARUTI.NS,,Auto,Passenger Vehicles,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
123,MCDOWELL-N,MCDOWELL-N.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
124,MCX,MCX.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
125,METROPOLIS,METROPOLIS.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
126,MFSL,MFSL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
127,MGL,MGL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
128,MOTHERSON,MOTHERSON.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
129,MPHASIS,MPHASIS.NS,,IT,IT Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
130,MRF,MRF.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
131,MUTHOOTFIN,MUTHOOTFIN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
132,NATIONALUM,NATIONALUM.NS,,Metal,Aluminium,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
133,NAUKRI,NAUKRI.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
134,NAVINFLUOR,NAVINFLUOR.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
135,NESTLEIND,NESTLEIND.NS,,FMCG,Packaged Foods,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
136,NMDC,NMDC.NS,,Metal,Mining,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
137,NTPC,NTPC.NS,,Power,Power Generation,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
138,OBEROIRLTY,OBEROIRLTY.NS,,Realty,Real Estate,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
139,OFSS,OFSS.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
140,ONGC,ONGC.NS,,Energy,Oil Exploration & Production,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
141,PAGEIND,PAGEIND.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
142,PEL,PEL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
143,PERSISTENT,PERSISTENT.NS,,IT,IT Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
144,PETRONET,PETRONET.NS,,Energy,Gas Infrastructure,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
145,PFC,PFC.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
146,PIDILITIND,PIDILITIND.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
147,PIIND,PIIND.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
148,PNB,PNB.NS,,Bank,Public Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
149,POLYCAB,POLYCAB.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
150,POWERGRID,POWERGRID.NS,,Power,Power Transmission,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
151,PVRINOX,PVRINOX.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
152,RAIN,RAIN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
153,RAMCOCEM,RAMCOCEM.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
154,RBLBANK,RBLBANK.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
155,RECLTD,RECLTD.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
156,RELIANCE,RELIANCE.NS,,Energy,"Oil, Gas & Consumable Fuels",1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
157,SAIL,SAIL.NS,,Metal,Iron & Steel,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
158,SBICARD,SBICARD.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
159,SBILIFE,SBILIFE.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
160,SBIN,SBIN.NS,,Bank,Public Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
161,SHREECEM,SHREECEM.NS,,Cement,Cement,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
162,SHRIRAMFIN,SHRIRAMFIN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
163,SIEMENS,SIEMENS.NS,,Capital Goods,Electrical Equipment,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
164,SRF,SRF.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
165,SUNPHARMA,SUNPHARMA.NS,,Pharma,Pharmaceuticals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
166,SUNTV,SUNTV.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
167,SYNGENE,SYNGENE.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
168,TATACHEM,TATACHEM.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
169,TATACOMM,TATACOMM.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
170,TATACONSUM,TATACONSUM.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
171,TATAMOTORS,TATAMOTORS.NS,,Auto,Passenger & Commercial Vehicles,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
172,TATAPOWER,TATAPOWER.NS,,Power,Integrated Power,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
173,TATASTEEL,TATASTEEL.NS,,Metal,Iron & Steel,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
174,TCS,TCS.NS,,IT,IT Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
175,TECHM,TECHM.NS,,IT,IT Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
176,TITAN,TITAN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
177,TORNTPHARM,TORNTPHARM.NS,,Pharma,Pharmaceuticals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
178,TRENT,TRENT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
179,TVSMOTOR,TVSMOTOR.NS,,Auto,Two Wheelers,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
180,UBL,UBL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
181,ULTRACEMCO,ULTRACEMCO.NS,,Cement,Cement,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
182,UPL,UPL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
183,VEDL,VEDL.NS,,Metal,Diversified Metals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
184,VOLTAS,VOLTAS.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
185,WHIRLPOOL,WHIRLPOOL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
186,WIPRO,WIPRO.NS,,IT,IT Services,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
187,ZEEL,ZEEL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
188,ZYDUSLIFE,ZYDUSLIFE.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
