underlying,expiry_date,instrument_family,contract_count
YESBANK,2026-07-28,OPTION,46
ZYDUSLIFE,2026-07-28,FUTURE,1
ZYDUSLIFE,2026-07-28,OPTION,178
NIFTY,2026-08-04,OPTION,448
NIFTY,2026-08-11,OPTION,442
NIFTY,2026-08-18,OPTION,424
360ONE,2026-08-25,FUTURE,1
360ONE,2026-08-25,OPTION,96
ABB,2026-08-25,FUTURE,1
ABB,2026-08-25,OPTION,114
ABCAPITAL,2026-08-25,FUTURE,1
ABCAPITAL,2026-08-25,OPTION,126
ADANIENSOL,2026-08-25,FUTURE,1
ADANIENSOL,2026-08-25,OPTION,140
ADANIENT,2026-08-25,FUTURE,1
ADANIENT,2026-08-25,OPTION,98
ADANIGREEN,2026-08-25,FUTURE,1
ADANIGREEN,2026-08-25,OPTION,130
ADANIPORTS,2026-08-25,FUTURE,1
ADANIPORTS,2026-08-25,OPTION,150
ADANIPOWER,2026-08-25,FUTURE,1
ADANIPOWER,2026-08-25,OPTION,68
ALKEM,2026-08-25,FUTURE,1
ALKEM,2026-08-25,OPTION,172
AMBER,2026-08-25,FUTURE,1
AMBER,2026-08-25,OPTION,132
AMBUJACEM,2026-08-25,FUTURE,1
AMBUJACEM,2026-08-25,OPTION,138
ANGELONE,2026-08-25,FUTURE,1
ANGELONE,2026-08-25,OPTION,114
APLAPOLLO,2026-08-25,FUTURE,1
APLAPOLLO,2026-08-25,OPTION,146
APOLLOHOSP,2026-08-25,FUTURE,1
APOLLOHOSP,2026-08-25,OPTION,136
ASHOKLEY,2026-08-25,FUTURE,1
ASHOKLEY,2026-08-25,OPTION,106
ASIANPAINT,2026-08-25,FUTURE,1
ASIANPAINT,2026-08-25,OPTION,206
ASTRAL,2026-08-25,FUTURE,1
ASTRAL,2026-08-25,OPTION,130
AUBANK,2026-08-25,FUTURE,1
AUBANK,2026-08-25,OPTION,86
AUROPHARMA,2026-08-25,FUTURE,1
AUROPHARMA,2026-08-25,OPTION,112
AXISBANK,2026-08-25,FUTURE,1
AXISBANK,2026-08-25,OPTION,112
BAJAJ-AUTO,2026-08-25,FUTURE,1
BAJAJ-AUTO,2026-08-25,OPTION,158
BAJAJFINSV,2026-08-25,FUTURE,1
BAJAJFINSV,2026-08-25,OPTION,154
BAJAJHLDNG,2026-08-25,FUTURE,1
BAJAJHLDNG,2026-08-25,OPTION,174
BAJFINANCE,2026-08-25,FUTURE,1
BAJFINANCE,2026-08-25,OPTION,150
BANDHANBNK,2026-08-25,FUTURE,1
BANDHANBNK,2026-08-25,OPTION,72
BANKBARODA,2026-08-25,FUTURE,1
BANKBARODA,2026-08-25,OPTION,98
BANKINDIA,2026-08-25,FUTURE,1
BANKINDIA,2026-08-25,OPTION,94
BANKNIFTY,2026-08-25,FUTURE,1
BANKNIFTY,2026-08-25,OPTION,760
BDL,2026-08-25,FUTURE,1
BDL,2026-08-25,OPTION,110
BEL,2026-08-25,FUTURE,1
BEL,2026-08-25,OPTION,132
BHARATFORG,2026-08-25,FUTURE,1
BHARATFORG,2026-08-25,OPTION,164
BHARTIARTL,2026-08-25,FUTURE,1
BHARTIARTL,2026-08-25,OPTION,146
BHEL,2026-08-25,FUTURE,1
BHEL,2026-08-25,OPTION,140
BIOCON,2026-08-25,FUTURE,1
BIOCON,2026-08-25,OPTION,140
BLUESTARCO,2026-08-25,FUTURE,1
BLUESTARCO,2026-08-25,OPTION,142
BOSCHLTD,2026-08-25,FUTURE,1
BOSCHLTD,2026-08-25,OPTION,126
BPCL,2026-08-25,FUTURE,1
BPCL,2026-08-25,OPTION,104
BRITANNIA,2026-08-25,FUTURE,1
BRITANNIA,2026-08-25,OPTION,168
BSE,2026-08-25,FUTURE,1
BSE,2026-08-25,OPTION,70
CAMS,2026-08-25,FUTURE,1
CAMS,2026-08-25,OPTION,134
CANBK,2026-08-25,FUTURE,1
CANBK,2026-08-25,OPTION,92
CDSL,2026-08-25,FUTURE,1
CDSL,2026-08-25,OPTION,110
CGPOWER,2026-08-25,FUTURE,1
CGPOWER,2026-08-25,OPTION,88
CHOLAFIN,2026-08-25,FUTURE,1
CHOLAFIN,2026-08-25,OPTION,132
CIPLA,2026-08-25,FUTURE,1
CIPLA,2026-08-25,OPTION,206
COALINDIA,2026-08-25,FUTURE,1
COALINDIA,2026-08-25,OPTION,146
COCHINSHIP,2026-08-25,FUTURE,1
COCHINSHIP,2026-08-25,OPTION,118
COFORGE,2026-08-25,FUTURE,1
COFORGE,2026-08-25,OPTION,122
COLPAL,2026-08-25,FUTURE,1
COLPAL,2026-08-25,OPTION,166
CONCOR,2026-08-25,FUTURE,1
CONCOR,2026-08-25,OPTION,158
CROMPTON,2026-08-25,FUTURE,1
CROMPTON,2026-08-25,OPTION,86
CUMMINSIND,2026-08-25,FUTURE,1
CUMMINSIND,2026-08-25,OPTION,92
DABUR,2026-08-25,FUTURE,1
DABUR,2026-08-25,OPTION,138
DALBHARAT,2026-08-25,FUTURE,1
DALBHARAT,2026-08-25,OPTION,140
DELHIVERY,2026-08-25,FUTURE,1
DELHIVERY,2026-08-25,OPTION,150
DIVISLAB,2026-08-25,FUTURE,1
DIVISLAB,2026-08-25,OPTION,118
DIXON,2026-08-25,FUTURE,1
DIXON,2026-08-25,OPTION,95
DLF,2026-08-25,FUTURE,1
DLF,2026-08-25,OPTION,110
DMART,2026-08-25,FUTURE,1
DMART,2026-08-25,OPTION,140
DRREDDY,2026-08-25,FUTURE,1
DRREDDY,2026-08-25,OPTION,226
EICHERMOT,2026-08-25,FUTURE,1
EICHERMOT,2026-08-25,OPTION,132
ETERNAL,2026-08-25,FUTURE,1
ETERNAL,2026-08-25,OPTION,86
FEDERALBNK,2026-08-25,FUTURE,1
FEDERALBNK,2026-08-25,OPTION,102
FINNIFTY,2026-08-25,FUTURE,1
FINNIFTY,2026-08-25,OPTION,310
FORCEMOT,2026-08-25,FUTURE,1
FORCEMOT,2026-08-25,OPTION,70
FORTIS,2026-08-25,FUTURE,1
FORTIS,2026-08-25,OPTION,154
GAIL,2026-08-25,FUTURE,1
GAIL,2026-08-25,OPTION,110
GLENMARK,2026-08-25,FUTURE,1
GLENMARK,2026-08-25,OPTION,180
GMRAIRPORT,2026-08-25,FUTURE,1
GMRAIRPORT,2026-08-25,OPTION,170
GODFRYPHLP,2026-08-25,FUTURE,1
GODFRYPHLP,2026-08-25,OPTION,72
GODREJCP,2026-08-25,FUTURE,1
GODREJCP,2026-08-25,OPTION,170
GODREJPROP,2026-08-25,FUTURE,1
GODREJPROP,2026-08-25,OPTION,162
GRASIM,2026-08-25,FUTURE,1
GRASIM,2026-08-25,OPTION,232
GVT&D,2026-08-25,FUTURE,1
GVT&D,2026-08-25,OPTION,90
HAL,2026-08-25,FUTURE,1
HAL,2026-08-25,OPTION,134
HAVELLS,2026-08-25,FUTURE,1
HAVELLS,2026-08-25,OPTION,94
HCLTECH,2026-08-25,FUTURE,1
HCLTECH,2026-08-25,OPTION,202
HDFCAMC,2026-08-25,FUTURE,1
HDFCAMC,2026-08-25,OPTION,86
HDFCBANK,2026-08-25,FUTURE,1
HDFCBANK,2026-08-25,OPTION,128
HDFCLIFE,2026-08-25,FUTURE,1
HDFCLIFE,2026-08-25,OPTION,192
HEROMOTOCO,2026-08-25,FUTURE,1
HEROMOTOCO,2026-08-25,OPTION,86
HINDALCO,2026-08-25,FUTURE,1
HINDALCO,2026-08-25,OPTION,86
HINDPETRO,2026-08-25,FUTURE,1
HINDPETRO,2026-08-25,OPTION,68
HINDUNILVR,2026-08-25,FUTURE,1
HINDUNILVR,2026-08-25,OPTION,174
HINDZINC,2026-08-25,FUTURE,1
HINDZINC,2026-08-25,OPTION,90
HYUNDAI,2026-08-25,FUTURE,1
HYUNDAI,2026-08-25,OPTION,166
ICICIBANK,2026-08-25,FUTURE,1
ICICIBANK,2026-08-25,OPTION,204
ICICIGI,2026-08-25,FUTURE,1
ICICIGI,2026-08-25,OPTION,148
ICICIPRULI,2026-08-25,FUTURE,1
ICICIPRULI,2026-08-25,OPTION,166
IDEA,2026-08-25,FUTURE,1
IDEA,2026-08-25,OPTION,40
IDFCFIRSTB,2026-08-25,FUTURE,1
IDFCFIRSTB,2026-08-25,OPTION,130
IEX,2026-08-25,FUTURE,1
IEX,2026-08-25,OPTION,90
INDHOTEL,2026-08-25,FUTURE,1
INDHOTEL,2026-08-25,OPTION,112
INDIANB,2026-08-25,FUTURE,1
INDIANB,2026-08-25,OPTION,148
INDIGO,2026-08-25,FUTURE,1
INDIGO,2026-08-25,OPTION,86
INDUSINDBK,2026-08-25,FUTURE,1
INDUSINDBK,2026-08-25,OPTION,158
INDUSTOWER,2026-08-25,FUTURE,1
INDUSTOWER,2026-08-25,OPTION,134
INFY,2026-08-25,FUTURE,1
INFY,2026-08-25,OPTION,119
INOXWIND,2026-08-25,FUTURE,1
INOXWIND,2026-08-25,OPTION,72
IOC,2026-08-25,FUTURE,1
IOC,2026-08-25,OPTION,97
IREDA,2026-08-25,FUTURE,1
IREDA,2026-08-25,OPTION,91
IRFC,2026-08-25,FUTURE,1
IRFC,2026-08-25,OPTION,154
ITC,2026-08-25,FUTURE,1
ITC,2026-08-25,OPTION,194
JINDALSTEL,2026-08-25,FUTURE,1
JINDALSTEL,2026-08-25,OPTION,90
JIOFIN,2026-08-25,FUTURE,1
JIOFIN,2026-08-25,OPTION,158
JSWENERGY,2026-08-25,FUTURE,1
JSWENERGY,2026-08-25,OPTION,94
JSWSTEEL,2026-08-25,FUTURE,1
JSWSTEEL,2026-08-25,OPTION,108
JUBLFOOD,2026-08-25,FUTURE,1
JUBLFOOD,2026-08-25,OPTION,142
KALYANKJIL,2026-08-25,FUTURE,1
KALYANKJIL,2026-08-25,OPTION,202
KAYNES,2026-08-25,FUTURE,1
KAYNES,2026-08-25,OPTION,110
KEI,2026-08-25,FUTURE,1
KEI,2026-08-25,OPTION,92
KFINTECH,2026-08-25,FUTURE,1
KFINTECH,2026-08-25,OPTION,70
KOTAKBANK,2026-08-25,FUTURE,1
KOTAKBANK,2026-08-25,OPTION,134
KPITTECH,2026-08-25,FUTURE,1
KPITTECH,2026-08-25,OPTION,130
LAURUSLABS,2026-08-25,FUTURE,1
LAURUSLABS,2026-08-25,OPTION,114
LICHSGFIN,2026-08-25,FUTURE,1
LICHSGFIN,2026-08-25,OPTION,92
LICI,2026-08-25,FUTURE,1
LICI,2026-08-25,OPTION,128
LODHA,2026-08-25,FUTURE,1
LODHA,2026-08-25,OPTION,92
LT,2026-08-25,FUTURE,1
LT,2026-08-25,OPTION,138
LTF,2026-08-25,FUTURE,1
LTF,2026-08-25,OPTION,98
LTM,2026-08-25,FUTURE,1
LTM,2026-08-25,OPTION,146
LUPIN,2026-08-25,FUTURE,1
LUPIN,2026-08-25,OPTION,188
M&M,2026-08-25,FUTURE,1
M&M,2026-08-25,OPTION,107
MANAPPURAM,2026-08-25,FUTURE,1
MANAPPURAM,2026-08-25,OPTION,112
MANKIND,2026-08-25,FUTURE,1
MANKIND,2026-08-25,OPTION,190
MARICO,2026-08-25,FUTURE,1
MARICO,2026-08-25,OPTION,126
MARUTI,2026-08-25,FUTURE,1
MARUTI,2026-08-25,OPTION,218
MAXHEALTH,2026-08-25,FUTURE,1
MAXHEALTH,2026-08-25,OPTION,174
MAZDOCK,2026-08-25,FUTURE,1
MAZDOCK,2026-08-25,OPTION,88
MCX,2026-08-25,FUTURE,1
MCX,2026-08-25,OPTION,102
MFSL,2026-08-25,FUTURE,1
MFSL,2026-08-25,OPTION,130
MIDCPNIFTY,2026-08-25,FUTURE,1
MIDCPNIFTY,2026-08-25,OPTION,530
MOTHERSON,2026-08-25,FUTURE,1
MOTHERSON,2026-08-25,OPTION,95
MOTILALOFS,2026-08-25,FUTURE,1
MOTILALOFS,2026-08-25,OPTION,88
MPHASIS,2026-08-25,FUTURE,1
MPHASIS,2026-08-25,OPTION,110
MUTHOOTFIN,2026-08-25,FUTURE,1
MUTHOOTFIN,2026-08-25,OPTION,108
NAM-INDIA,2026-08-25,FUTURE,1
NAM-INDIA,2026-08-25,OPTION,92
NATIONALUM,2026-08-25,FUTURE,1
NATIONALUM,2026-08-25,OPTION,68
NAUKRI,2026-08-25,FUTURE,1
NAUKRI,2026-08-25,OPTION,102
NBCC,2026-08-25,FUTURE,1
NBCC,2026-08-25,OPTION,70
NESTLEIND,2026-08-25,FUTURE,1
NESTLEIND,2026-08-25,OPTION,206
NHPC,2026-08-25,FUTURE,1
NHPC,2026-08-25,OPTION,128
NIFTY,2026-08-25,FUTURE,1
NIFTY,2026-08-25,OPTION,476
NIFTYNXT50,2026-08-25,FUTURE,1
NIFTYNXT50,2026-08-25,OPTION,720
NMDC,2026-08-25,FUTURE,1
NMDC,2026-08-25,OPTION,146
NTPC,2026-08-25,FUTURE,1
NTPC,2026-08-25,OPTION,112
NYKAA,2026-08-25,FUTURE,1
NYKAA,2026-08-25,OPTION,94
OBEROIRLTY,2026-08-25,FUTURE,1
OBEROIRLTY,2026-08-25,OPTION,138
OFSS,2026-08-25,FUTURE,1
OFSS,2026-08-25,OPTION,158
OIL,2026-08-25,FUTURE,1
OIL,2026-08-25,OPTION,130
ONGC,2026-08-25,FUTURE,1
ONGC,2026-08-25,OPTION,158
PAGEIND,2026-08-25,FUTURE,1
PAGEIND,2026-08-25,OPTION,142
PATANJALI,2026-08-25,FUTURE,1
PATANJALI,2026-08-25,OPTION,156
PAYTM,2026-08-25,FUTURE,1
PAYTM,2026-08-25,OPTION,106
PERSISTENT,2026-08-25,FUTURE,1
PERSISTENT,2026-08-25,OPTION,98
PETRONET,2026-08-25,FUTURE,1
PETRONET,2026-08-25,OPTION,90
PFC,2026-08-25,FUTURE,1
PFC,2026-08-25,OPTION,140
PGEL,2026-08-25,FUTURE,1
PGEL,2026-08-25,OPTION,90
PHOENIXLTD,2026-08-25,FUTURE,1
PHOENIXLTD,2026-08-25,OPTION,156
PIDILITIND,2026-08-25,FUTURE,1
PIDILITIND,2026-08-25,OPTION,130
PIIND,2026-08-25,FUTURE,1
PIIND,2026-08-25,OPTION,95
PNB,2026-08-25,FUTURE,1
PNB,2026-08-25,OPTION,180
PNBHOUSING,2026-08-25,FUTURE,1
PNBHOUSING,2026-08-25,OPTION,88
POLICYBZR,2026-08-25,FUTURE,1
POLICYBZR,2026-08-25,OPTION,134
POLYCAB,2026-08-25,FUTURE,1
POLYCAB,2026-08-25,OPTION,162
POWERGRID,2026-08-25,FUTURE,1
POWERGRID,2026-08-25,OPTION,184
POWERINDIA,2026-08-25,FUTURE,1
POWERINDIA,2026-08-25,OPTION,118
PREMIERENE,2026-08-25,FUTURE,1
PREMIERENE,2026-08-25,OPTION,90
PRESTIGE,2026-08-25,FUTURE,1
PRESTIGE,2026-08-25,OPTION,126
RADICO,2026-08-25,FUTURE,1
RADICO,2026-08-25,OPTION,114
RBLBANK,2026-08-25,FUTURE,1
RBLBANK,2026-08-25,OPTION,132
RECLTD,2026-08-25,FUTURE,1
RECLTD,2026-08-25,OPTION,114
RELIANCE,2026-08-25,FUTURE,1
RELIANCE,2026-08-25,OPTION,202
RVNL,2026-08-25,FUTURE,1
RVNL,2026-08-25,OPTION,88
SAIL,2026-08-25,FUTURE,1
SAIL,2026-08-25,OPTION,112
SBICARD,2026-08-25,FUTURE,1
SBICARD,2026-08-25,OPTION,110
SBILIFE,2026-08-25,FUTURE,1
SBILIFE,2026-08-25,OPTION,148
SBIN,2026-08-25,FUTURE,1
SBIN,2026-08-25,OPTION,166
SHREECEM,2026-08-25,FUTURE,1
SHREECEM,2026-08-25,OPTION,154
SHRIRAMFIN,2026-08-25,FUTURE,1
SHRIRAMFIN,2026-08-25,OPTION,86
SIEMENS,2026-08-25,FUTURE,1
SIEMENS,2026-08-25,OPTION,112
SOLARINDS,2026-08-25,FUTURE,1
SOLARINDS,2026-08-25,OPTION,114
SONACOMS,2026-08-25,FUTURE,1
SONACOMS,2026-08-25,OPTION,110
SRF,2026-08-25,FUTURE,1
SRF,2026-08-25,OPTION,88
SUNPHARMA,2026-08-25,FUTURE,1
SUNPHARMA,2026-08-25,OPTION,150
SUPREMEIND,2026-08-25,FUTURE,1
SUPREMEIND,2026-08-25,OPTION,116
SUZLON,2026-08-25,FUTURE,1
SUZLON,2026-08-25,OPTION,98
SWIGGY,2026-08-25,FUTURE,1
SWIGGY,2026-08-25,OPTION,94
TATACONSUM,2026-08-25,FUTURE,1
TATACONSUM,2026-08-25,OPTION,172
TATAELXSI,2026-08-25,FUTURE,1
TATAELXSI,2026-08-25,OPTION,134
TATAPOWER,2026-08-25,FUTURE,1
TATAPOWER,2026-08-25,OPTION,126
TATASTEEL,2026-08-25,FUTURE,1
TATASTEEL,2026-08-25,OPTION,126
TCS,2026-08-25,FUTURE,1
TCS,2026-08-25,OPTION,186
TECHM,2026-08-25,FUTURE,1
TECHM,2026-08-25,OPTION,161
TIINDIA,2026-08-25,FUTURE,1
TIINDIA,2026-08-25,OPTION,114
TITAN,2026-08-25,FUTURE,1
TITAN,2026-08-25,OPTION,138
TMPV,2026-08-25,FUTURE,1
TMPV,2026-08-25,OPTION,130
TORNTPHARM,2026-08-25,FUTURE,1
TORNTPHARM,2026-08-25,OPTION,156
TRENT,2026-08-25,FUTURE,1
TRENT,2026-08-25,OPTION,107
TVSMOTOR,2026-08-25,FUTURE,1
TVSMOTOR,2026-08-25,OPTION,115
ULTRACEMCO,2026-08-25,FUTURE,1
ULTRACEMCO,2026-08-25,OPTION,190
UNIONBANK,2026-08-25,FUTURE,1
UNIONBANK,2026-08-25,OPTION,118
UNITDSPR,2026-08-25,FUTURE,1
UNITDSPR,2026-08-25,OPTION,106
UNOMINDA,2026-08-25,FUTURE,1
UNOMINDA,2026-08-25,OPTION,94
UPL,2026-08-25,FUTURE,1
UPL,2026-08-25,OPTION,108
VBL,2026-08-25,FUTURE,1
VBL,2026-08-25,OPTION,94
VEDL,2026-08-25,FUTURE,1
VEDL,2026-08-25,OPTION,108
VMM,2026-08-25,FUTURE,1
VMM,2026-08-25,OPTION,86
VOLTAS,2026-08-25,FUTURE,1
VOLTAS,2026-08-25,OPTION,116
WAAREEENER,2026-08-25,FUTURE,1
WAAREEENER,2026-08-25,OPTION,102
WIPRO,2026-08-25,FUTURE,1
WIPRO,2026-08-25,OPTION,112
YESBANK,2026-08-25,FUTURE,1
YESBANK,2026-08-25,OPTION,46
ZYDUSLIFE,2026-08-25,FUTURE,1
ZYDUSLIFE,2026-08-25,OPTION,178
