underlying,near_future_symbol,next_future_symbol,far_future_symbol,near_expiry,next_expiry,far_expiry,lot_sizes,live_futures_contracts,live_options_contracts,updated_at
JSWENERGY,NSE:JSWENERGY26JULFUT,NSE:JSWENERGY26AUGFUT,NSE:JSWENERGY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1075,3,259,2026-07-16T23:27:03
JSWSTEEL,NSE:JSWSTEEL26JULFUT,NSE:JSWSTEEL26AUGFUT,NSE:JSWSTEEL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,675,3,283,2026-07-16T23:27:03
JUBLFOOD,NSE:JUBLFOOD26JULFUT,NSE:JUBLFOOD26AUGFUT,NSE:JUBLFOOD26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1250,3,354,2026-07-16T23:27:03
KALYANKJIL,NSE:KALYANKJIL26JULFUT,NSE:KALYANKJIL26AUGFUT,NSE:KALYANKJIL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1350,3,506,2026-07-16T23:27:03
KAYNES,NSE:KAYNES26JULFUT,NSE:KAYNES26AUGFUT,NSE:KAYNES26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,150,3,271,2026-07-16T23:27:03
KEI,NSE:KEI26JULFUT,NSE:KEI26AUGFUT,NSE:KEI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,245,2026-07-16T23:27:03
KFINTECH,NSE:KFINTECH26JULFUT,NSE:KFINTECH26AUGFUT,NSE:KFINTECH26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,575,3,209,2026-07-16T23:27:03
KOTAKBANK,NSE:KOTAKBANK26JULFUT,NSE:KOTAKBANK26AUGFUT,NSE:KOTAKBANK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2000,3,370,2026-07-16T23:27:03
KPITTECH,NSE:KPITTECH26JULFUT,NSE:KPITTECH26AUGFUT,NSE:KPITTECH26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,775,3,335,2026-07-16T23:27:03
LAURUSLABS,NSE:LAURUSLABS26JULFUT,NSE:LAURUSLABS26AUGFUT,NSE:LAURUSLABS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,850,3,320,2026-07-16T23:27:03
LICHSGFIN,NSE:LICHSGFIN26JULFUT,NSE:LICHSGFIN26AUGFUT,NSE:LICHSGFIN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1000,3,246,2026-07-16T23:27:03
LICI,NSE:LICI26JULFUT,NSE:LICI26AUGFUT,NSE:LICI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1400,3,342,2026-07-16T23:27:03
LODHA,NSE:LODHA26JULFUT,NSE:LODHA26AUGFUT,NSE:LODHA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,625,3,259,2026-07-16T23:27:03
LT,NSE:LT26JULFUT,NSE:LT26AUGFUT,NSE:LT26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,398,2026-07-16T23:27:03
LTF,NSE:LTF26JULFUT,NSE:LTF26AUGFUT,NSE:LTF26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2250,3,246,2026-07-16T23:27:03
LTM,NSE:LTM26JULFUT,NSE:LTM26AUGFUT,NSE:LTM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,150,3,368,2026-07-16T23:27:03
LUPIN,NSE:LUPIN26JULFUT,NSE:LUPIN26AUGFUT,NSE:LUPIN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,425,3,468,2026-07-16T23:27:03
M&M,NSE:M&M26JULFUT,NSE:M&M26AUGFUT,NSE:M&M26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,200,3,319,2026-07-16T23:27:03
MANAPPURAM,NSE:MANAPPURAM26JULFUT,NSE:MANAPPURAM26AUGFUT,NSE:MANAPPURAM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,3000,3,274,2026-07-16T23:27:03
MANKIND,NSE:MANKIND26JULFUT,NSE:MANKIND26AUGFUT,NSE:MANKIND26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,250,3,470,2026-07-16T23:27:03
MARICO,NSE:MARICO26JULFUT,NSE:MARICO26AUGFUT,NSE:MARICO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1200,3,339,2026-07-16T23:27:03
MARUTI,NSE:MARUTI26JULFUT,NSE:MARUTI26AUGFUT,NSE:MARUTI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,50,3,546,2026-07-16T23:27:03
MAXHEALTH,NSE:MAXHEALTH26JULFUT,NSE:MAXHEALTH26AUGFUT,NSE:MAXHEALTH26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,525,3,438,2026-07-16T23:27:03
MAZDOCK,NSE:MAZDOCK26JULFUT,NSE:MAZDOCK26AUGFUT,NSE:MAZDOCK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,225,3,262,2026-07-16T23:27:03
MCX,NSE:MCX26JULFUT,NSE:MCX26AUGFUT,NSE:MCX26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,225,3,258,2026-07-16T23:27:03
MFSL,NSE:MFSL26JULFUT,NSE:MFSL26AUGFUT,NSE:MFSL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,400,3,328,2026-07-16T23:27:04
MIDCPNIFTY,NSE:MIDCPNIFTY26JULFUT,NSE:MIDCPNIFTY26AUGFUT,NSE:MIDCPNIFTY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,120,3,1550,2026-07-16T23:27:04
MOTHERSON,NSE:MOTHERSON26JULFUT,NSE:MOTHERSON26AUGFUT,NSE:MOTHERSON26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,6150,3,293,2026-07-16T23:27:04
MOTILALOFS,NSE:MOTILALOFS26JULFUT,NSE:MOTILALOFS26AUGFUT,NSE:MOTILALOFS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,775,3,240,2026-07-16T23:27:04
MPHASIS,NSE:MPHASIS26JULFUT,NSE:MPHASIS26AUGFUT,NSE:MPHASIS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,275,3,353,2026-07-16T23:27:04
MUTHOOTFIN,NSE:MUTHOOTFIN26JULFUT,NSE:MUTHOOTFIN26AUGFUT,NSE:MUTHOOTFIN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,275,3,264,2026-07-16T23:27:04
NAM-INDIA,NSE:NAM-INDIA26JULFUT,NSE:NAM-INDIA26AUGFUT,NSE:NAM-INDIA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,625,3,230,2026-07-16T23:27:04
NATIONALUM,NSE:NATIONALUM26JULFUT,NSE:NATIONALUM26AUGFUT,NSE:NATIONALUM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1875,3,207,2026-07-16T23:27:04
NAUKRI,NSE:NAUKRI26JULFUT,NSE:NAUKRI26AUGFUT,NSE:NAUKRI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,550,3,283,2026-07-16T23:27:04
NBCC,NSE:NBCC26JULFUT,NSE:NBCC26AUGFUT,NSE:NBCC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,6500,3,222,2026-07-16T23:27:04
NESTLEIND,NSE:NESTLEIND26JULFUT,NSE:NESTLEIND26AUGFUT,NSE:NESTLEIND26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,500,3,516,2026-07-16T23:27:04
NHPC,NSE:NHPC26JULFUT,NSE:NHPC26AUGFUT,NSE:NHPC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,6950,3,320,2026-07-16T23:27:04
NIFTY,NSE:NIFTY26JULFUT,NSE:NIFTY26AUGFUT,NSE:NIFTY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,65,3,3938,2026-07-16T23:27:04
NIFTYNXT50,NSE:NIFTYNXT5026JULFUT,NSE:NIFTYNXT5026AUGFUT,NSE:NIFTYNXT5026SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,25,3,2102,2026-07-16T23:27:04
NMDC,NSE:NMDC26JULFUT,NSE:NMDC26AUGFUT,NSE:NMDC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,6750,3,356,2026-07-16T23:27:04
NTPC,NSE:NTPC26JULFUT,NSE:NTPC26AUGFUT,NSE:NTPC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1500,3,312,2026-07-16T23:27:04
NUVAMA,NSE:NUVAMA26JULFUT,,,2026-07-28,,,500,1,142,2026-07-16T23:27:04
NYKAA,NSE:NYKAA26JULFUT,NSE:NYKAA26AUGFUT,NSE:NYKAA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,3125,3,256,2026-07-16T23:27:04
OBEROIRLTY,NSE:OBEROIRLTY26JULFUT,NSE:OBEROIRLTY26AUGFUT,NSE:OBEROIRLTY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,350,3,346,2026-07-16T23:27:04
OFSS,NSE:OFSS26JULFUT,NSE:OFSS26AUGFUT,NSE:OFSS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,100,3,407,2026-07-16T23:27:04
OIL,NSE:OIL26JULFUT,NSE:OIL26AUGFUT,NSE:OIL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1400,3,326,2026-07-16T23:27:04
ONGC,NSE:ONGC26JULFUT,NSE:ONGC26AUGFUT,NSE:ONGC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2250,3,404,2026-07-16T23:27:04
PAGEIND,NSE:PAGEIND26JULFUT,NSE:PAGEIND26AUGFUT,NSE:PAGEIND26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,20,3,386,2026-07-16T23:27:04
PATANJALI,NSE:PATANJALI26JULFUT,NSE:PATANJALI26AUGFUT,NSE:PATANJALI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1075,3,390,2026-07-16T23:27:04
PAYTM,NSE:PAYTM26JULFUT,NSE:PAYTM26AUGFUT,NSE:PAYTM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,725,3,294,2026-07-16T23:27:04
PERSISTENT,NSE:PERSISTENT26JULFUT,NSE:PERSISTENT26AUGFUT,NSE:PERSISTENT26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,125,3,287,2026-07-16T23:27:04
PETRONET,NSE:PETRONET26JULFUT,NSE:PETRONET26AUGFUT,NSE:PETRONET26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1900,3,243,2026-07-16T23:27:04
PFC,NSE:PFC26JULFUT,NSE:PFC26AUGFUT,NSE:PFC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1300,3,350,2026-07-16T23:27:04
PGEL,NSE:PGEL26JULFUT,NSE:PGEL26AUGFUT,NSE:PGEL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,950,3,230,2026-07-16T23:27:04
PHOENIXLTD,NSE:PHOENIXLTD26JULFUT,NSE:PHOENIXLTD26AUGFUT,NSE:PHOENIXLTD26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,350,3,390,2026-07-16T23:27:04
PIDILITIND,NSE:PIDILITIND26JULFUT,NSE:PIDILITIND26AUGFUT,NSE:PIDILITIND26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,500,3,351,2026-07-16T23:27:04
PIIND,NSE:PIIND26JULFUT,NSE:PIIND26AUGFUT,NSE:PIIND26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,295,2026-07-16T23:27:04
PNB,NSE:PNB26JULFUT,NSE:PNB26AUGFUT,NSE:PNB26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,8000,3,450,2026-07-16T23:27:04
PNBHOUSING,NSE:PNBHOUSING26JULFUT,NSE:PNBHOUSING26AUGFUT,NSE:PNBHOUSING26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,650,3,246,2026-07-16T23:27:04
POLICYBZR,NSE:POLICYBZR26JULFUT,NSE:POLICYBZR26AUGFUT,NSE:POLICYBZR26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,350,3,336,2026-07-16T23:27:04
POLYCAB,NSE:POLYCAB26JULFUT,NSE:POLYCAB26AUGFUT,NSE:POLYCAB26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,125,3,410,2026-07-16T23:27:04
POWERGRID,NSE:POWERGRID26JULFUT,NSE:POWERGRID26AUGFUT,NSE:POWERGRID26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1900,3,458,2026-07-16T23:27:04
POWERINDIA,NSE:POWERINDIA26JULFUT,NSE:POWERINDIA26AUGFUT,NSE:POWERINDIA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,25,3,298,2026-07-16T23:27:04
PREMIERENE,NSE:PREMIERENE26JULFUT,NSE:PREMIERENE26AUGFUT,NSE:PREMIERENE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,650,3,248,2026-07-16T23:27:04
PRESTIGE,NSE:PRESTIGE26JULFUT,NSE:PRESTIGE26AUGFUT,NSE:PRESTIGE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,450,3,322,2026-07-16T23:27:04
RADICO,NSE:RADICO26JULFUT,NSE:RADICO26AUGFUT,NSE:RADICO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,150,3,298,2026-07-16T23:27:04
RBLBANK,NSE:RBLBANK26JULFUT,NSE:RBLBANK26AUGFUT,NSE:RBLBANK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,3175,3,330,2026-07-16T23:27:04
RECLTD,NSE:RECLTD26JULFUT,NSE:RECLTD26AUGFUT,NSE:RECLTD26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1575,3,298,2026-07-16T23:27:04
RELIANCE,NSE:RELIANCE26JULFUT,NSE:RELIANCE26AUGFUT,NSE:RELIANCE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,500,3,506,2026-07-16T23:27:04
RVNL,NSE:RVNL26JULFUT,NSE:RVNL26AUGFUT,NSE:RVNL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1925,3,226,2026-07-16T23:27:04
SAIL,NSE:SAIL26JULFUT,NSE:SAIL26AUGFUT,NSE:SAIL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,4700,3,290,2026-07-16T23:27:04
SBICARD,NSE:SBICARD26JULFUT,NSE:SBICARD26AUGFUT,NSE:SBICARD26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,800,3,270,2026-07-16T23:27:04
SBILIFE,NSE:SBILIFE26JULFUT,NSE:SBILIFE26AUGFUT,NSE:SBILIFE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,375,3,364,2026-07-16T23:27:04
SBIN,NSE:SBIN26JULFUT,NSE:SBIN26AUGFUT,NSE:SBIN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,750,3,416,2026-07-16T23:27:04
SHREECEM,NSE:SHREECEM26JULFUT,NSE:SHREECEM26AUGFUT,NSE:SHREECEM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,25,3,394,2026-07-16T23:27:04
SHRIRAMFIN,NSE:SHRIRAMFIN26JULFUT,NSE:SHRIRAMFIN26AUGFUT,NSE:SHRIRAMFIN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,825,3,248,2026-07-16T23:27:04
SIEMENS,NSE:SIEMENS26JULFUT,NSE:SIEMENS26AUGFUT,NSE:SIEMENS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,290,2026-07-16T23:27:04
SOLARINDS,NSE:SOLARINDS26JULFUT,NSE:SOLARINDS26AUGFUT,NSE:SOLARINDS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,50,3,290,2026-07-16T23:27:04
SONACOMS,NSE:SONACOMS26JULFUT,NSE:SONACOMS26AUGFUT,NSE:SONACOMS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1225,3,294,2026-07-16T23:27:04
SRF,NSE:SRF26JULFUT,NSE:SRF26AUGFUT,NSE:SRF26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,200,3,272,2026-07-16T23:27:04
SUNPHARMA,NSE:SUNPHARMA26JULFUT,NSE:SUNPHARMA26AUGFUT,NSE:SUNPHARMA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,350,3,372,2026-07-16T23:27:04
SUPREMEIND,NSE:SUPREMEIND26JULFUT,NSE:SUPREMEIND26AUGFUT,NSE:SUPREMEIND26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,300,2026-07-16T23:27:04
SUZLON,NSE:SUZLON26JULFUT,NSE:SUZLON26AUGFUT,NSE:SUZLON26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,12700,3,248,2026-07-16T23:27:04
SWIGGY,NSE:SWIGGY26JULFUT,NSE:SWIGGY26AUGFUT,NSE:SWIGGY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1825,3,240,2026-07-16T23:27:04
TATACONSUM,NSE:TATACONSUM26JULFUT,NSE:TATACONSUM26AUGFUT,NSE:TATACONSUM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,550,3,434,2026-07-16T23:27:04
TATAELXSI,NSE:TATAELXSI26JULFUT,NSE:TATAELXSI26AUGFUT,NSE:TATAELXSI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,125,3,340,2026-07-16T23:27:04
TATAPOWER,NSE:TATAPOWER26JULFUT,NSE:TATAPOWER26AUGFUT,NSE:TATAPOWER26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1450,3,316,2026-07-16T23:27:04
TATASTEEL,NSE:TATASTEEL26JULFUT,NSE:TATASTEEL26AUGFUT,NSE:TATASTEEL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2750,3,316,2026-07-16T23:27:04
TCS,NSE:TCS26JULFUT,NSE:TCS26AUGFUT,NSE:TCS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,225,3,464,2026-07-16T23:27:04
TECHM,NSE:TECHM26JULFUT,NSE:TECHM26AUGFUT,NSE:TECHM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,600,3,432,2026-07-16T23:27:04
TIINDIA,NSE:TIINDIA26JULFUT,NSE:TIINDIA26AUGFUT,NSE:TIINDIA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,200,3,321,2026-07-16T23:27:04
TITAN,NSE:TITAN26JULFUT,NSE:TITAN26AUGFUT,NSE:TITAN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,342,2026-07-16T23:27:04
TMPV,NSE:TMPV26JULFUT,NSE:TMPV26AUGFUT,NSE:TMPV26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1600,3,326,2026-07-16T23:27:04
TORNTPHARM,NSE:TORNTPHARM26JULFUT,NSE:TORNTPHARM26AUGFUT,NSE:TORNTPHARM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,125,3,390,2026-07-16T23:27:04
TRENT,NSE:TRENT26JULFUT,NSE:TRENT26AUGFUT,NSE:TRENT26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,225,3,380,2026-07-16T23:27:04
TVSMOTOR,NSE:TVSMOTOR26JULFUT,NSE:TVSMOTOR26AUGFUT,NSE:TVSMOTOR26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,355,2026-07-16T23:27:04
ULTRACEMCO,NSE:ULTRACEMCO26JULFUT,NSE:ULTRACEMCO26AUGFUT,NSE:ULTRACEMCO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,50,3,474,2026-07-16T23:27:04
UNIONBANK,NSE:UNIONBANK26JULFUT,NSE:UNIONBANK26AUGFUT,NSE:UNIONBANK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,4425,3,316,2026-07-16T23:27:04
UNITDSPR,NSE:UNITDSPR26JULFUT,NSE:UNITDSPR26AUGFUT,NSE:UNITDSPR26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,400,3,289,2026-07-16T23:27:04
UNOMINDA,NSE:UNOMINDA26JULFUT,NSE:UNOMINDA26AUGFUT,NSE:UNOMINDA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,550,3,236,2026-07-16T23:27:04
UPL,NSE:UPL26JULFUT,NSE:UPL26AUGFUT,NSE:UPL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1355,3,291,2026-07-16T23:27:04
VBL,NSE:VBL26JULFUT,NSE:VBL26AUGFUT,NSE:VBL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1275,3,256,2026-07-16T23:27:04
VEDL,NSE:VEDL26JULFUT,NSE:VEDL26AUGFUT,NSE:VEDL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1150,3,267,2026-07-16T23:27:04
VMM,NSE:VMM26JULFUT,NSE:VMM26AUGFUT,NSE:VMM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,4850,3,239,2026-07-16T23:27:04
VOLTAS,NSE:VOLTAS26JULFUT,NSE:VOLTAS26AUGFUT,NSE:VOLTAS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,375,3,282,2026-07-16T23:27:04
WAAREEENER,NSE:WAAREEENER26JULFUT,NSE:WAAREEENER26AUGFUT,NSE:WAAREEENER26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,252,2026-07-16T23:27:04
WIPRO,NSE:WIPRO26JULFUT,NSE:WIPRO26AUGFUT,NSE:WIPRO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,3000,3,290,2026-07-16T23:27:04
YESBANK,NSE:YESBANK26JULFUT,NSE:YESBANK26AUGFUT,NSE:YESBANK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,31100,3,130,2026-07-16T23:27:04
ZYDUSLIFE,NSE:ZYDUSLIFE26JULFUT,NSE:ZYDUSLIFE26AUGFUT,NSE:ZYDUSLIFE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,900,3,444,2026-07-16T23:27:04
