underlying,expiry_bucket,expiry_date,fyers_symbol,lot_size,tick_size
360ONE,NEAR,2026-07-28,NSE:360ONE26JULFUT,500,0.1
360ONE,NEXT,2026-08-25,NSE:360ONE26AUGFUT,500,0.1
360ONE,FAR,2026-09-29,NSE:360ONE26SEPFUT,500,0.1
ABB,NEAR,2026-07-28,NSE:ABB26JULFUT,125,0.5
ABB,NEXT,2026-08-25,NSE:ABB26AUGFUT,125,0.5
ABB,FAR,2026-09-29,NSE:ABB26SEPFUT,125,0.5
ABCAPITAL,NEAR,2026-07-28,NSE:ABCAPITAL26JULFUT,3100,0.05
ABCAPITAL,NEXT,2026-08-25,NSE:ABCAPITAL26AUGFUT,3100,0.05
ABCAPITAL,FAR,2026-09-29,NSE:ABCAPITAL26SEPFUT,3100,0.05
ADANIENSOL,NEAR,2026-07-28,NSE:ADANIENSOL26JULFUT,675,0.1
ADANIENSOL,NEXT,2026-08-25,NSE:ADANIENSOL26AUGFUT,675,0.1
ADANIENSOL,FAR,2026-09-29,NSE:ADANIENSOL26SEPFUT,675,0.1
ADANIENT,NEAR,2026-07-28,NSE:ADANIENT26JULFUT,309,0.1
ADANIENT,NEXT,2026-08-25,NSE:ADANIENT26AUGFUT,309,0.1
ADANIENT,FAR,2026-09-29,NSE:ADANIENT26SEPFUT,309,0.1
ADANIGREEN,NEAR,2026-07-28,NSE:ADANIGREEN26JULFUT,600,0.1
ADANIGREEN,NEXT,2026-08-25,NSE:ADANIGREEN26AUGFUT,600,0.1
ADANIGREEN,FAR,2026-09-29,NSE:ADANIGREEN26SEPFUT,600,0.1
ADANIPORTS,NEAR,2026-07-28,NSE:ADANIPORTS26JULFUT,475,0.1
ADANIPORTS,NEXT,2026-08-25,NSE:ADANIPORTS26AUGFUT,475,0.1
ADANIPORTS,FAR,2026-09-29,NSE:ADANIPORTS26SEPFUT,475,0.1
ADANIPOWER,NEAR,2026-07-28,NSE:ADANIPOWER26JULFUT,3550,0.01
ADANIPOWER,NEXT,2026-08-25,NSE:ADANIPOWER26AUGFUT,3550,0.01
ADANIPOWER,FAR,2026-09-29,NSE:ADANIPOWER26SEPFUT,3550,0.01
ALKEM,NEAR,2026-07-28,NSE:ALKEM26JULFUT,125,0.5
ALKEM,NEXT,2026-08-25,NSE:ALKEM26AUGFUT,125,0.5
ALKEM,FAR,2026-09-29,NSE:ALKEM26SEPFUT,125,0.5
AMBER,NEAR,2026-07-28,NSE:AMBER26JULFUT,100,0.5
AMBER,NEXT,2026-08-25,NSE:AMBER26AUGFUT,100,0.5
AMBER,FAR,2026-09-29,NSE:AMBER26SEPFUT,100,0.5
AMBUJACEM,NEAR,2026-07-28,NSE:AMBUJACEM26JULFUT,1200,0.05
AMBUJACEM,NEXT,2026-08-25,NSE:AMBUJACEM26AUGFUT,1200,0.05
AMBUJACEM,FAR,2026-09-29,NSE:AMBUJACEM26SEPFUT,1200,0.05
ANGELONE,NEAR,2026-07-28,NSE:ANGELONE26JULFUT,2500,0.05
ANGELONE,NEXT,2026-08-25,NSE:ANGELONE26AUGFUT,2500,0.05
ANGELONE,FAR,2026-09-29,NSE:ANGELONE26SEPFUT,2500,0.05
APLAPOLLO,NEAR,2026-07-28,NSE:APLAPOLLO26JULFUT,350,0.1
APLAPOLLO,NEXT,2026-08-25,NSE:APLAPOLLO26AUGFUT,350,0.1
APLAPOLLO,FAR,2026-09-29,NSE:APLAPOLLO26SEPFUT,350,0.1
APOLLOHOSP,NEAR,2026-07-28,NSE:APOLLOHOSP26JULFUT,125,0.5
APOLLOHOSP,NEXT,2026-08-25,NSE:APOLLOHOSP26AUGFUT,125,0.5
APOLLOHOSP,FAR,2026-09-29,NSE:APOLLOHOSP26SEPFUT,125,0.5
ASHOKLEY,NEAR,2026-07-28,NSE:ASHOKLEY26JULFUT,5000,0.01
ASHOKLEY,NEXT,2026-08-25,NSE:ASHOKLEY26AUGFUT,5000,0.01
ASHOKLEY,FAR,2026-09-29,NSE:ASHOKLEY26SEPFUT,5000,0.01
ASIANPAINT,NEAR,2026-07-28,NSE:ASIANPAINT26JULFUT,250,0.1
ASIANPAINT,NEXT,2026-08-25,NSE:ASIANPAINT26AUGFUT,250,0.1
ASIANPAINT,FAR,2026-09-29,NSE:ASIANPAINT26SEPFUT,250,0.1
ASTRAL,NEAR,2026-07-28,NSE:ASTRAL26JULFUT,425,0.1
ASTRAL,NEXT,2026-08-25,NSE:ASTRAL26AUGFUT,425,0.1
ASTRAL,FAR,2026-09-29,NSE:ASTRAL26SEPFUT,425,0.1
AUBANK,NEAR,2026-07-28,NSE:AUBANK26JULFUT,1000,0.1
AUBANK,NEXT,2026-08-25,NSE:AUBANK26AUGFUT,1000,0.1
AUBANK,FAR,2026-09-29,NSE:AUBANK26SEPFUT,1000,0.1
AUROPHARMA,NEAR,2026-07-28,NSE:AUROPHARMA26JULFUT,550,0.1
AUROPHARMA,NEXT,2026-08-25,NSE:AUROPHARMA26AUGFUT,550,0.1
AUROPHARMA,FAR,2026-09-29,NSE:AUROPHARMA26SEPFUT,550,0.1
AXISBANK,NEAR,2026-07-28,NSE:AXISBANK26JULFUT,625,0.1
AXISBANK,NEXT,2026-08-25,NSE:AXISBANK26AUGFUT,625,0.1
AXISBANK,FAR,2026-09-29,NSE:AXISBANK26SEPFUT,625,0.1
BAJAJ-AUTO,NEAR,2026-07-28,NSE:BAJAJ-AUTO26JULFUT,75,0.5
BAJAJ-AUTO,NEXT,2026-08-25,NSE:BAJAJ-AUTO26AUGFUT,75,0.5
BAJAJ-AUTO,FAR,2026-09-29,NSE:BAJAJ-AUTO26SEPFUT,75,0.5
BAJAJFINSV,NEAR,2026-07-28,NSE:BAJAJFINSV26JULFUT,300,0.1
BAJAJFINSV,NEXT,2026-08-25,NSE:BAJAJFINSV26AUGFUT,300,0.1
BAJAJFINSV,FAR,2026-09-29,NSE:BAJAJFINSV26SEPFUT,300,0.1
BAJAJHLDNG,NEAR,2026-07-28,NSE:BAJAJHLDNG26JULFUT,75,1.0
BAJAJHLDNG,NEXT,2026-08-25,NSE:BAJAJHLDNG26AUGFUT,75,1.0
BAJAJHLDNG,FAR,2026-09-29,NSE:BAJAJHLDNG26SEPFUT,75,1.0
BAJFINANCE,NEAR,2026-07-28,NSE:BAJFINANCE26JULFUT,750,0.1
BAJFINANCE,NEXT,2026-08-25,NSE:BAJFINANCE26AUGFUT,750,0.1
BAJFINANCE,FAR,2026-09-29,NSE:BAJFINANCE26SEPFUT,750,0.1
BANDHANBNK,NEAR,2026-07-28,NSE:BANDHANBNK26JULFUT,3600,0.01
BANDHANBNK,NEXT,2026-08-25,NSE:BANDHANBNK26AUGFUT,3600,0.01
BANDHANBNK,FAR,2026-09-29,NSE:BANDHANBNK26SEPFUT,3600,0.01
BANKBARODA,NEAR,2026-07-28,NSE:BANKBARODA26JULFUT,2925,0.05
BANKBARODA,NEXT,2026-08-25,NSE:BANKBARODA26AUGFUT,2925,0.05
BANKBARODA,FAR,2026-09-29,NSE:BANKBARODA26SEPFUT,2925,0.05
BANKINDIA,NEAR,2026-07-28,NSE:BANKINDIA26JULFUT,5200,0.01
BANKINDIA,NEXT,2026-08-25,NSE:BANKINDIA26AUGFUT,5200,0.01
BANKINDIA,FAR,2026-09-29,NSE:BANKINDIA26SEPFUT,5200,0.01
BANKNIFTY,NEAR,2026-07-28,NSE:BANKNIFTY26JULFUT,30,0.2
BANKNIFTY,NEXT,2026-08-25,NSE:BANKNIFTY26AUGFUT,30,0.2
BANKNIFTY,FAR,2026-09-29,NSE:BANKNIFTY26SEPFUT,30,0.2
BDL,NEAR,2026-07-28,NSE:BDL26JULFUT,425,0.1
BDL,NEXT,2026-08-25,NSE:BDL26AUGFUT,425,0.1
BDL,FAR,2026-09-29,NSE:BDL26SEPFUT,425,0.1
BEL,NEAR,2026-07-28,NSE:BEL26JULFUT,1425,0.05
BEL,NEXT,2026-08-25,NSE:BEL26AUGFUT,1425,0.05
BEL,FAR,2026-09-29,NSE:BEL26SEPFUT,1425,0.05
BHARATFORG,NEAR,2026-07-28,NSE:BHARATFORG26JULFUT,500,0.1
BHARATFORG,NEXT,2026-08-25,NSE:BHARATFORG26AUGFUT,500,0.1
BHARATFORG,FAR,2026-09-29,NSE:BHARATFORG26SEPFUT,500,0.1
BHARTIARTL,NEAR,2026-07-28,NSE:BHARTIARTL26JULFUT,475,0.1
BHARTIARTL,NEXT,2026-08-25,NSE:BHARTIARTL26AUGFUT,475,0.1
BHARTIARTL,FAR,2026-09-29,NSE:BHARTIARTL26SEPFUT,475,0.1
BHEL,NEAR,2026-07-28,NSE:BHEL26JULFUT,2625,0.05
BHEL,NEXT,2026-08-25,NSE:BHEL26AUGFUT,2625,0.05
BHEL,FAR,2026-09-29,NSE:BHEL26SEPFUT,2625,0.05
BIOCON,NEAR,2026-07-28,NSE:BIOCON26JULFUT,2500,0.05
BIOCON,NEXT,2026-08-25,NSE:BIOCON26AUGFUT,2500,0.05
BIOCON,FAR,2026-09-29,NSE:BIOCON26SEPFUT,2500,0.05
BLUESTARCO,NEAR,2026-07-28,NSE:BLUESTARCO26JULFUT,325,0.1
BLUESTARCO,NEXT,2026-08-25,NSE:BLUESTARCO26AUGFUT,325,0.1
BLUESTARCO,FAR,2026-09-29,NSE:BLUESTARCO26SEPFUT,325,0.1
BOSCHLTD,NEAR,2026-07-28,NSE:BOSCHLTD26JULFUT,25,5.0
BOSCHLTD,NEXT,2026-08-25,NSE:BOSCHLTD26AUGFUT,25,5.0
BOSCHLTD,FAR,2026-09-29,NSE:BOSCHLTD26SEPFUT,25,5.0
BPCL,NEAR,2026-07-28,NSE:BPCL26JULFUT,1975,0.05
BPCL,NEXT,2026-08-25,NSE:BPCL26AUGFUT,1975,0.05
BPCL,FAR,2026-09-29,NSE:BPCL26SEPFUT,1975,0.05
BRITANNIA,NEAR,2026-07-28,NSE:BRITANNIA26JULFUT,125,0.5
BRITANNIA,NEXT,2026-08-25,NSE:BRITANNIA26AUGFUT,125,0.5
BRITANNIA,FAR,2026-09-29,NSE:BRITANNIA26SEPFUT,125,0.5
BSE,NEAR,2026-07-28,NSE:BSE26JULFUT,200,0.1
BSE,NEXT,2026-08-25,NSE:BSE26AUGFUT,200,0.1
BSE,FAR,2026-09-29,NSE:BSE26SEPFUT,200,0.1
CAMS,NEAR,2026-07-28,NSE:CAMS26JULFUT,825,0.05
CAMS,NEXT,2026-08-25,NSE:CAMS26AUGFUT,825,0.05
CAMS,FAR,2026-09-29,NSE:CAMS26SEPFUT,825,0.05
CANBK,NEAR,2026-07-28,NSE:CANBK26JULFUT,6750,0.01
CANBK,NEXT,2026-08-25,NSE:CANBK26AUGFUT,6750,0.01
CANBK,FAR,2026-09-29,NSE:CANBK26SEPFUT,6750,0.01
CDSL,NEAR,2026-07-28,NSE:CDSL26JULFUT,475,0.1
CDSL,NEXT,2026-08-25,NSE:CDSL26AUGFUT,475,0.1
CDSL,FAR,2026-09-29,NSE:CDSL26SEPFUT,475,0.1
CGPOWER,NEAR,2026-07-28,NSE:CGPOWER26JULFUT,850,0.05
CGPOWER,NEXT,2026-08-25,NSE:CGPOWER26AUGFUT,850,0.05
CGPOWER,FAR,2026-09-29,NSE:CGPOWER26SEPFUT,850,0.05
CHOLAFIN,NEAR,2026-07-28,NSE:CHOLAFIN26JULFUT,625,0.1
CHOLAFIN,NEXT,2026-08-25,NSE:CHOLAFIN26AUGFUT,625,0.1
CHOLAFIN,FAR,2026-09-29,NSE:CHOLAFIN26SEPFUT,625,0.1
CIPLA,NEAR,2026-07-28,NSE:CIPLA26JULFUT,425,0.1
CIPLA,NEXT,2026-08-25,NSE:CIPLA26AUGFUT,425,0.1
CIPLA,FAR,2026-09-29,NSE:CIPLA26SEPFUT,425,0.1
COALINDIA,NEAR,2026-07-28,NSE:COALINDIA26JULFUT,1350,0.05
COALINDIA,NEXT,2026-08-25,NSE:COALINDIA26AUGFUT,1350,0.05
COALINDIA,FAR,2026-09-29,NSE:COALINDIA26SEPFUT,1350,0.05
COCHINSHIP,NEAR,2026-07-28,NSE:COCHINSHIP26JULFUT,400,0.1
COCHINSHIP,NEXT,2026-08-25,NSE:COCHINSHIP26AUGFUT,400,0.1
COCHINSHIP,FAR,2026-09-29,NSE:COCHINSHIP26SEPFUT,400,0.1
COFORGE,NEAR,2026-07-28,NSE:COFORGE26JULFUT,475,0.1
COFORGE,NEXT,2026-08-25,NSE:COFORGE26AUGFUT,475,0.1
COFORGE,FAR,2026-09-29,NSE:COFORGE26SEPFUT,475,0.1
COLPAL,NEAR,2026-07-28,NSE:COLPAL26JULFUT,275,0.1
COLPAL,NEXT,2026-08-25,NSE:COLPAL26AUGFUT,275,0.1
COLPAL,FAR,2026-09-29,NSE:COLPAL26SEPFUT,275,0.1
CONCOR,NEAR,2026-07-28,NSE:CONCOR26JULFUT,1250,0.05
CONCOR,NEXT,2026-08-25,NSE:CONCOR26AUGFUT,1250,0.05
CONCOR,FAR,2026-09-29,NSE:CONCOR26SEPFUT,1250,0.05
CROMPTON,NEAR,2026-07-28,NSE:CROMPTON26JULFUT,2150,0.05
CROMPTON,NEXT,2026-08-25,NSE:CROMPTON26AUGFUT,2150,0.05
CROMPTON,FAR,2026-09-29,NSE:CROMPTON26SEPFUT,2150,0.05
CUMMINSIND,NEAR,2026-07-28,NSE:CUMMINSIND26JULFUT,200,0.5
CUMMINSIND,NEXT,2026-08-25,NSE:CUMMINSIND26AUGFUT,200,0.5
CUMMINSIND,FAR,2026-09-29,NSE:CUMMINSIND26SEPFUT,200,0.5
DABUR,NEAR,2026-07-28,NSE:DABUR26JULFUT,1250,0.05
DABUR,NEXT,2026-08-25,NSE:DABUR26AUGFUT,1250,0.05
DABUR,FAR,2026-09-29,NSE:DABUR26SEPFUT,1250,0.05
DALBHARAT,NEAR,2026-07-28,NSE:DALBHARAT26JULFUT,325,0.1
DALBHARAT,NEXT,2026-08-25,NSE:DALBHARAT26AUGFUT,325,0.1
DELHIVERY,NEAR,2026-07-28,NSE:DELHIVERY26JULFUT,2075,0.05
DELHIVERY,NEXT,2026-08-25,NSE:DELHIVERY26AUGFUT,2075,0.05
DELHIVERY,FAR,2026-09-29,NSE:DELHIVERY26SEPFUT,2075,0.05
DIVISLAB,NEAR,2026-07-28,NSE:DIVISLAB26JULFUT,100,0.5
DIVISLAB,NEXT,2026-08-25,NSE:DIVISLAB26AUGFUT,100,0.5
DIVISLAB,FAR,2026-09-29,NSE:DIVISLAB26SEPFUT,100,0.5
DIXON,NEAR,2026-07-28,NSE:DIXON26JULFUT,50,1.0
DIXON,NEXT,2026-08-25,NSE:DIXON26AUGFUT,50,1.0
DIXON,FAR,2026-09-29,NSE:DIXON26SEPFUT,50,1.0
DLF,NEAR,2026-07-28,NSE:DLF26JULFUT,950,0.05
DLF,NEXT,2026-08-25,NSE:DLF26AUGFUT,950,0.05
DLF,FAR,2026-09-29,NSE:DLF26SEPFUT,950,0.05
DMART,NEAR,2026-07-28,NSE:DMART26JULFUT,150,0.1
DMART,NEXT,2026-08-25,NSE:DMART26AUGFUT,150,0.1
DMART,FAR,2026-09-29,NSE:DMART26SEPFUT,150,0.1
DRREDDY,NEAR,2026-07-28,NSE:DRREDDY26JULFUT,625,0.1
DRREDDY,NEXT,2026-08-25,NSE:DRREDDY26AUGFUT,625,0.1
DRREDDY,FAR,2026-09-29,NSE:DRREDDY26SEPFUT,625,0.1
EICHERMOT,NEAR,2026-07-28,NSE:EICHERMOT26JULFUT,100,0.5
EICHERMOT,NEXT,2026-08-25,NSE:EICHERMOT26AUGFUT,100,0.5
EICHERMOT,FAR,2026-09-29,NSE:EICHERMOT26SEPFUT,100,0.5
ETERNAL,NEAR,2026-07-28,NSE:ETERNAL26JULFUT,2425,0.05
ETERNAL,NEXT,2026-08-25,NSE:ETERNAL26AUGFUT,2425,0.05
ETERNAL,FAR,2026-09-29,NSE:ETERNAL26SEPFUT,2425,0.05
EXIDEIND,NEAR,2026-07-28,NSE:EXIDEIND26JULFUT,1800,0.05
FEDERALBNK,NEAR,2026-07-28,NSE:FEDERALBNK26JULFUT,2500,0.05
FEDERALBNK,NEXT,2026-08-25,NSE:FEDERALBNK26AUGFUT,2500,0.05
FEDERALBNK,FAR,2026-09-29,NSE:FEDERALBNK26SEPFUT,2500,0.05
FINNIFTY,NEAR,2026-07-28,NSE:FINNIFTY26JULFUT,60,0.1
FINNIFTY,NEXT,2026-08-25,NSE:FINNIFTY26AUGFUT,60,0.1
FINNIFTY,FAR,2026-09-29,NSE:FINNIFTY26SEPFUT,60,0.1
FORCEMOT,NEAR,2026-07-28,NSE:FORCEMOT26JULFUT,25,1.0
FORCEMOT,NEXT,2026-08-25,NSE:FORCEMOT26AUGFUT,25,1.0
FORCEMOT,FAR,2026-09-29,NSE:FORCEMOT26SEPFUT,25,1.0
FORTIS,NEAR,2026-07-28,NSE:FORTIS26JULFUT,775,0.05
FORTIS,NEXT,2026-08-25,NSE:FORTIS26AUGFUT,775,0.05
FORTIS,FAR,2026-09-29,NSE:FORTIS26SEPFUT,775,0.05
GAIL,NEAR,2026-07-28,NSE:GAIL26JULFUT,3550,0.01
GAIL,NEXT,2026-08-25,NSE:GAIL26AUGFUT,3550,0.01
GAIL,FAR,2026-09-29,NSE:GAIL26SEPFUT,3550,0.01
GLENMARK,NEAR,2026-07-28,NSE:GLENMARK26JULFUT,375,0.1
GLENMARK,NEXT,2026-08-25,NSE:GLENMARK26AUGFUT,375,0.1
GLENMARK,FAR,2026-09-29,NSE:GLENMARK26SEPFUT,375,0.1
GMRAIRPORT,NEAR,2026-07-28,NSE:GMRAIRPORT26JULFUT,6975,0.01
GMRAIRPORT,NEXT,2026-08-25,NSE:GMRAIRPORT26AUGFUT,6975,0.01
GMRAIRPORT,FAR,2026-09-29,NSE:GMRAIRPORT26SEPFUT,6975,0.01
GODFRYPHLP,NEAR,2026-07-28,NSE:GODFRYPHLP26JULFUT,275,0.1
GODFRYPHLP,NEXT,2026-08-25,NSE:GODFRYPHLP26AUGFUT,275,0.1
